community,NID,POP2010,POP2000
DOUGLAS,35,18238,26470
OAKLAND,36,5918,6110
FULLER PARK,37,2876,3420
GRAND BOULEVARD,38,21929,28006
KENWOOD,39,17841,18363
LINCOLN SQUARE,4,39493,44574
WASHINGTON PARK,40,11717,14146
HYDE PARK,41,25681,29920
WOODLAWN,42,25983,27086
ROGERS PARK,1,54991,63484
JEFFERSON PARK,11,25448,25859
FOREST GLEN,12,18508,18165
NORTH PARK,13,17931,18514
ALBANY PARK,14,51542,57655
PORTAGE PARK,15,64124,65340
IRVING PARK,16,53359,58643
DUNNING,17,41932,42164
MONTCLARE,18,13426,12646
BELMONT CRAGIN,19,78743,78144
WEST RIDGE,2,71942,73199
HERMOSA,20,25010,26908
AVONDALE,21,39262,43083
LOGAN SQUARE,22,73595,82715
HUMBOLDT PARK,23,56323,65836
WEST TOWN,24,81432,87435
AUSTIN,25,98514,117527
WEST GARFIELD PARK,26,18001,23019
EAST GARFIELD PARK,27,20567,20881
NEAR WEST SIDE,28,54881,46419
NORTH LAWNDALE,29,35912,41768
UPTOWN,3,56362,63551
SOUTH LAWNDALE,30,79288,91071
LOWER WEST SIDE,31,35769,44031
NEAR SOUTH SIDE,33,21390,9509
ARMOUR SQUARE,34,13391,12032
NORWOOD PARK,10,37023,37669
NEAR NORTH SIDE,8,80484,72811
LOOP,32,29283,16388
SOUTH SHORE,43,49767,61556
CHATHAM,44,31028,37275
AVALON PARK,45,10185,11147
SOUTH CHICAGO,46,31198,38596
BURNSIDE,47,2916,3294
CALUMET HEIGHTS,48,13812,15974
ROSELAND,49,44619,52723
NORTH CENTER,5,31867,31895
PULLMAN,50,7325,8921
SOUTH DEERING,51,15109,16990
EAST SIDE,52,23042,23653
WEST PULLMAN,53,29651,36649
RIVERDALE,54,6482,9809
HEGEWISCH,55,9426,9781
GARFIELD RIDGE,56,34513,36101
ARCHER HEIGHTS,57,13393,12644
BRIGHTON PARK,58,45368,44912
MCKINLEY PARK,59,15612,15962
LAKE VIEW,6,94368,94817
BRIDGEPORT,60,31977,33694
NEW CITY,61,44377,51721
WEST ELSDON,62,18109,15921
GAGE PARK,63,39894,39193
CLEARING,64,23139,22331
WEST LAWN,65,33355,29235
CHICAGO LAWN,66,55628,61412
WEST ENGLEWOOD,67,35505,45282
ENGLEWOOD,68,30654,40222
GREATER GRAND CROSSING,69,32602,38619
LINCOLN PARK,7,64116,64320
ASHBURN,70,41081,39584
AUBURN GRESHAM,71,48743,55928
BEVERLY,72,20034,21992
WASHINGTON HEIGHTS,73,26493,29843
MOUNT GREENWOOD,74,19093,18820
MORGAN PARK,75,22544,25226
OHARE,76,12756,11956
EDGEWATER,77,56521,62198
EDISON PARK,9,11187,11259